price,signal,diff,diffTotal,wallet
0,0,0,100000,100000
397.7515,-1.0,89.17250000000001,28891.89,128891.89
395.0031,-1.0,2.9798000000000116,29869.264400000015,129869.26440000001
421.2332,-1.0,5.940400000000011,31722.669200000004,131722.6692
438.7745,-1.0,-5.072400000000016,30221.238800000006,130221.2388
449.7101,-1.0,4.648100000000056,31578.483999999997,131578.484
432.4581,-1.0,-5.40990000000005,29955.51399999998,129955.51399999998
436.1418,-1.0,2.256500000000017,30630.20749999999,130630.20749999999
419.8734,-1.0,-4.272100000000023,29318.67279999997,129318.67279999997
418.5716,-1.0,-0.9161000000000286,29036.513999999952,129036.51399999995
365.0893,-1.0,-17.271299999999997,23216.085899999947,123216.08589999995
367.7798,-1.0,9.045500000000004,26318.692399999956,126318.69239999996
371.2707,-1.0,-4.821700000000021,24703.422899999947,124703.42289999995
366.5262,-1.0,-6.663599999999974,22477.780499999964,122477.78049999996
374.9063,-1.0,-6.412800000000004,20419.271699999954,120419.27169999995
368.4741,-1.0,-6.885400000000004,18215.943699999945,118215.94369999995
353.6522,-1.0,-18.949299999999994,12209.01559999994,112209.01559999994
323.0537,-1.0,-8.679100000000005,9275.479799999928,109275.47979999993
303.4969,-1.0,-0.27010000000001355,9178.513899999918,109178.51389999992
359.2936,-1.0,42.643100000000004,23847.740299999918,123847.74029999992
416.2379,-1.0,36.7414,35825.436699999904,135825.4366999999
423.9719,-1.0,1.4658000000000015,36295.95849999992,136295.95849999992
427.0674,-1.0,5.6317000000000235,38114.997599999915,138114.99759999992
423.8562,-1.0,-2.3818999999999733,37343.26199999993,137343.26199999993
435.3029,-1.0,-4.223799999999983,36025.43639999992,136025.43639999992
459.8402,-1.0,21.326099999999997,42636.52739999993,142636.52739999993
509.9444,-1.0,20.708399999999983,48662.671799999924,148662.67179999992
582.7571,-1.0,57.9384,65059.238999999914,165059.2389999999
574.4326,-1.0,-7.33420000000001,62983.660399999906,162983.6603999999
582.5414,-1.0,-4.618200000000002,61704.41899999991,161704.4189999999
634.2046,-1.0,44.42700000000002,73877.41699999993,173877.41699999993
598.259,-1.0,7.020399999999995,75941.41459999993,175941.41459999993
605.7109,-1.0,7.187099999999987,78047.23489999992,178047.23489999992
677.0039,-1.0,70.18500000000006,98611.43989999994,198611.43989999994
755.1212,-1.0,72.85200000000009,119811.37189999997,219811.37189999997
750.09,-1.0,-19.360000000000014,114293.77189999999,214293.7719
767.91,-1.0,-2.1399999999999864,113698.85189999998,213698.85189999998
767.83,-1.0,-2.2799999999999727,113067.29189999998,213067.29189999998
756.13,-1.0,-12.039999999999964,109732.2119,209732.2119
0.0,0.0,0.0,109732.2119,209732.2119
