price,signal,diff
308.579,1.0,0.0
397.7515,-1.0,89.17250000000001
392.0233,1.0,0.0
395.0031,-1.0,2.9798000000000116
415.2928,1.0,0.0
421.2332,-1.0,5.940400000000011
443.8469,1.0,0.0
438.7745,-1.0,-5.072400000000016
445.06199999999995,1.0,0.0
449.7101,-1.0,4.648100000000056
437.86800000000005,1.0,0.0
432.4581,-1.0,-5.40990000000005
433.8853,1.0,0.0
436.1418,-1.0,2.256500000000017
424.5119,1.0,0.0
420.0374,-1.0,-4.474500000000035
424.1455,1.0,0.0
419.8734,-1.0,-4.272100000000023
419.4877,1.0,0.0
418.5716,-1.0,-0.9161000000000286
382.3606,1.0,0.0
365.0893,-1.0,-17.271299999999997
358.7343,1.0,0.0
367.7798,-1.0,9.045500000000004
376.0924,1.0,0.0
371.2707,-1.0,-4.821700000000021
373.1898,1.0,0.0
366.5262,-1.0,-6.663599999999974
381.3191,1.0,0.0
374.9063,-1.0,-6.412800000000004
375.3595,1.0,0.0
373.6816,-1.0,-1.6779000000000224
385.7358,1.0,0.0
368.4741,-1.0,-17.261699999999962
372.6015,1.0,0.0
353.6522,-1.0,-18.949299999999994
331.7328,1.0,0.0
323.0537,-1.0,-8.679100000000005
303.767,1.0,0.0
303.4969,-1.0,-0.27010000000001355
316.6505,1.0,0.0
320.6333,-1.0,3.9827999999999975
328.2805,1.0,0.0
359.2936,-1.0,31.01310000000001
379.4965,1.0,0.0
416.2379,-1.0,36.7414
421.4357,1.0,0.0
427.0674,-1.0,5.6317000000000235
426.2381,1.0,0.0
423.8562,-1.0,-2.3818999999999733
439.5267,1.0,0.0
435.3029,-1.0,-4.223799999999983
438.5141,1.0,0.0
459.8402,-1.0,21.326099999999997
489.236,1.0,0.0
509.9444,-1.0,20.708399999999983
524.8187,1.0,0.0
562.1958,-1.0,37.37709999999993
575.0797,1.0,0.0
582.7571,-1.0,7.677400000000034
587.1596,1.0,0.0
582.5414,-1.0,-4.618200000000002
589.7776,1.0,0.0
634.2046,-1.0,44.42700000000002
591.2386,1.0,0.0
598.259,-1.0,7.020399999999995
598.5238,1.0,0.0
605.7109,-1.0,7.187099999999987
606.8189,1.0,0.0
630.3806,-1.0,23.561699999999973
647.6474,1.0,0.0
677.0039,-1.0,29.356500000000096
682.2692,1.0,0.0
755.1212,-1.0,72.85200000000009
769.45,1.0,0.0
750.09,-1.0,-19.360000000000014
770.05,1.0,0.0
767.91,-1.0,-2.1399999999999864
770.11,1.0,0.0
776.02,-1.0,5.909999999999968
768.17,1.0,0.0
756.13,-1.0,-12.039999999999964
764.05,1.0,0.0
