y_val,y_hat
[390.5669],[202.91014099121094]
[418.34319999999997],[402.0208740234375]
[466.6314000000001],[436.3537902832031]
[441.8463000000001],[469.99700927734375]
[478.16069999999996],[482.2368469238281]
[471.33200000000005],[463.7889404296875]
[533.2946999999999],[510.412841796875]
[501.6723],[519.4088745117188]
[518.7655000000001],[503.67401123046875]
[493.9804],[496.4399719238281]
[544.4051999999999],[518.2429809570312]
[646.9640999999999],[639.790771484375]
[603.3766],[585.1947631835938]
[572.6089000000001],[588.745361328125]
[552.9518],[555.256591796875]
[562.3530000000001],[550.727294921875]
[552.9518],[557.0972900390625]
[533.2946999999999],[527.4107055664062]
[518.7655000000001],[520.6569213867188]
[503.3817],[513.8630981445312]
[575.8346],[542.14111328125]
[548.4590000000001],[535.678955078125]
[550.7439999999999],[558.7279052734375]
[509.6675],[517.821533203125]
[514.0786999999999],[517.0057983398438]
[509.67630000000014],[508.17254638671875]
[492.023],[513.3422241210938]
[523.7832],[507.41107177734375]
[487.6118],[520.8020629882812]
[492.023],[490.14447021484375]
[499.94540000000006],[493.355224609375]
[481.99210000000005],[486.1045837402344]
[483.20070000000004],[491.39569091796875]
[499.02790000000005],[488.89996337890625]
[469.9673],[480.1580810546875]
[455.8517],[478.159423828125]
[383.50899999999996],[392.4234924316406]
[337.6332000000001],[365.2751159667969]
[417.16090000000014],[388.69635009765625]
[421.6554000000001],[423.27569580078125]
[402.9089],[410.1468811035156]
[389.1305000000001],[400.4288330078125]
[394.86699999999996],[392.710205078125]
[399.15600000000006],[389.0726623535156]
[375.2091],[386.4415283203125]
[368.06080000000003],[378.2409973144531]
[352.87059999999997],[369.0196533203125]
[305.513],[333.3538818359375]
[314.44840000000005],[322.6578674316406]
[255.4747],[295.6630554199219]
[274.23909999999995],[278.7928161621094]
[310.0522],[327.6888732910156]
[287.64219999999995],[298.1209716796875]
[254.5812],[282.781494140625]
[334.99979999999994],[290.08795166015625]
[358.2319],[360.6048583984375]
[341.2546],[369.2952575683594]
[309.9807],[333.3351745605469]
[294.70110000000005],[294.9749450683594]
[303.7258999999999],[297.40234375]
[301.04530000000005],[298.1110534667969]
[318.9160999999999],[322.8795471191406]
[350.19],[336.915771484375]
[340.36109999999996],[363.52960205078125]
[383.24790000000013],[353.2237548828125]
[392.5964000000001],[404.06060791015625]
[368.5536],[387.4322814941406]
[328.21169999999995],[366.25091552734375]
[331.00129999999996],[317.8265686035156]
[345.9289],[351.5850830078125]
[358.98130000000003],[359.97320556640625]
[359.92359999999996],[354.98077392578125]
[342.197],[383.0930480957031]
[358.0483],[356.2262878417969]
[331.93429999999995],[344.5829162597656]
[335.1996999999999],[336.1295166015625]
[347.7016],[324.01275634765625]
[331.93429999999995],[351.1489562988281]
[344.99600000000004],[349.85400390625]
[317.93969999999996],[331.7597961425781]
[313.46139999999997],[332.4721984863281]
[277.11740000000003],[325.7853088378906]
[260.99479999999994],[262.24639892578125]
[256.25849999999997],[278.7702331542969]
[264.78389999999996],[279.4901428222656]
[180.47670000000002],[219.98336791992188]
[189.94950000000003],[187.04612731933594]
[244.8912],[212.68617248535156]
[218.46230000000003],[240.58958435058594]
[229.73489999999995],[223.52740478515625]
[268.21310000000005],[256.9803466796875]
[249.6276],[267.3710632324219]
[218.36759999999995],[236.9635467529297]
[209.03699999999998],[210.79127502441406]
[235.41850000000002],[232.69970703125]
[275.20390000000003],[279.57476806640625]
[274.25669999999997],[272.8963928222656]
[332.04019999999997],[340.7529602050781]
[332.04019999999997],[330.23114013671875]
[369.50480000000005],[360.383544921875]
[345.302],[357.4689636230469]
[332.04019999999997],[357.57086181640625]
[317.8312],[329.2804870605469]
[317.3481],[314.90728759765625]
[311.67389999999995],[305.9270935058594]
[282.79159999999996],[319.53387451171875]
[275.11870000000005],[300.02886962890625]
[246.87089999999995],[256.1944885253906]
[228.71239999999997],[244.376953125]
[203.46599999999998],[202.7189483642578]
[153.32999999999998],[176.35658264160156]
[144.84380000000004],[144.05397033691406]
[140.79360000000003],[145.50634765625]
[179.36720000000003],[162.58128356933594]
[187.56409999999997],[167.5815887451172]
[152.68390000000002],[149.2269287109375]
[131.1502],[128.2274932861328]
[118.85489999999996],[148.7803192138672]
[92.73090000000003],[120.96926879882812]
[55.93169999999995],[69.80656433105469]
[62.682099999999984],[53.13916015625]
[56.89600000000002],[46.32205581665039]
[39.53789999999998],[55.71501159667969]
[54.002999999999986],[52.19313049316406]
[15.429499999999999],[31.30986213684082]
[23.1152],[16.945354461669922]
[25.07280000000001],[17.30314064025879]
[43.38569999999994],[29.842313766479492]
[43.38569999999994],[35.22262191772461]
[54.002999999999986],[48.770790100097656]
[3.2787999999999964],[17.514484405517578]
[7.714700000000005],[12.967386245727539]
[27.00150000000001],[19.927087783813477]
[114.75639999999997],[73.53678894042969]
[106.93560000000004],[107.06327819824219]
[126.61779999999999],[133.005615234375]
[145.61530000000002],[140.1968231201172]
[153.32040000000003],[155.5294189453125]
[129.46260000000004],[137.02996826171875]
[131.1502],[135.65113830566406]
[126.3285],[127.24639892578125]
[103.18430000000001],[117.93148040771484]
[102.54790000000001],[103.26750183105469]
[68.46809999999999],[85.26929473876953]
[78.11149999999999],[74.47626495361328]
[58.824699999999986],[67.10066223144531]
[86.7906],[82.588623046875]
[78.11149999999999],[72.14659881591797]
[16.393800000000002],[33.308204650878906]
[15.419800000000015],[18.872644424438477]
[39.23899999999997],[25.007518768310547]
[140.79360000000003],[80.65766906738281]
[129.24079999999998],[128.1165008544922]
[148.3926],[129.62295532226562]
[140.79360000000003],[131.51841735839844]
[140.22679999999994],[153.1617431640625]
[172.58370000000002],[144.3040313720703]
[256.90770000000003],[219.84625244140625]
[287.30350000000004],[292.5905456542969]
[292.15709999999996],[290.1999206542969]
[339.27070000000003],[335.91070556640625]
[320.5429],[342.29388427734375]
[304.9527999999999],[310.1975402832031]
[319.64079999999996],[311.81610107421875]
[310.8358],[324.328125]
[332.4070999999999],[328.3184509277344]
[363.7833999999999],[377.8891906738281]
[471.6397],[395.85272216796875]
[447.8508000000001],[463.5758361816406]
[481.8308000000001],[463.1391906738281]
[483.68080000000015],[479.1829528808594]
[462.8408],[466.0334777832031]
